time_s,time_h,radius_cm,radius_m
0,0,2,0.02
1800,0.5,1.873,0.01873
3600,1,1.794,0.01794
5400,1.5,1.703,0.01703
7200,2,1.625,0.01625
9000,2.5,1.589,0.01589
10800,3,1.552,0.01552
12600,3.5,1.51,0.0151
14400,4,1.477,0.01477
16200,4.5,1.447,0.01447
18000,5,1.424,0.01424
19800,5.5,1.397,0.01397
21600,6,1.374,0.01374
23400,6.5,1.356,0.01356
25200,7,1.337,0.01337
27000,7.5,1.321,0.01321
28800,8,1.311,0.01311
30600,8.5,1.299,0.01299
32400,9,1.291,0.01291
34200,9.5,1.281,0.01281
36000,10,1.273,0.01273
37800,10.5,1.266,0.01266
39600,11,1.26,0.0126
41400,11.5,1.253,0.01253
43200,12,1.248,0.01248
45000,12.5,1.244,0.01244
46800,13,1.24,0.0124
48600,13.5,1.236,0.01236
50400,14,1.233,0.01233
52200,14.5,1.229,0.01229
54000,15,1.226,0.01226
55800,15.5,1.223,0.01223
57600,16,1.221,0.01221
59400,16.5,1.219,0.01219
61200,17,1.218,0.01218
63000,17.5,1.216,0.01216
64800,18,1.214,0.01214
66600,18.5,1.213,0.01213
68400,19,1.212,0.01212
70200,19.5,1.211,0.01211
72000,20,1.21,0.0121
73800,20.5,1.209,0.01209
75600,21,1.208,0.01208
77400,21.5,1.207,0.01207
79200,22,1.206,0.01206
81000,22.5,1.206,0.01206
82800,23,1.205,0.01205
84600,23.5,1.205,0.01205
86400,24,1.204,0.01204
88200,24.5,1.204,0.01204
90000,25,1.203,0.01203
91800,25.5,1.203,0.01203
93600,26,1.203,0.01203
95400,26.5,1.203,0.01203
97200,27,1.202,0.01202
99000,27.5,1.202,0.01202
100800,28,1.202,0.01202
102600,28.5,1.202,0.01202
104400,29,1.202,0.01202
106200,29.5,1.201,0.01201
108000,30,1.201,0.01201
109800,30.5,1.201,0.01201
111600,31,1.201,0.01201
113400,31.5,1.201,0.01201
115200,32,1.201,0.01201
117000,32.5,1.201,0.01201
118800,33,1.201,0.01201
120600,33.5,1.201,0.01201
122400,34,1.201,0.01201
124200,34.5,1.201,0.01201
126000,35,1.2,0.012
127800,35.5,1.2,0.012
129600,36,1.2,0.012
131400,36.5,1.2,0.012
133200,37,1.2,0.012
135000,37.5,1.2,0.012
136800,38,1.2,0.012
138600,38.5,1.2,0.012
140400,39,1.2,0.012
142200,39.5,1.2,0.012
144000,40,1.2,0.012
145800,40.5,1.2,0.012
147600,41,1.2,0.012
149400,41.5,1.2,0.012
151200,42,1.2,0.012
153000,42.5,1.2,0.012
154800,43,1.2,0.012
156600,43.5,1.2,0.012
158400,44,1.2,0.012
160200,44.5,1.2,0.012
162000,45,1.2,0.012
163800,45.5,1.2,0.012
165600,46,1.2,0.012
167400,46.5,1.2,0.012
169200,47,1.2,0.012
171000,47.5,1.2,0.012
172800,48,1.2,0.012
174600,48.5,1.2,0.012
176400,49,1.2,0.012
178200,49.5,1.2,0.012
180000,50,1.2,0.012
181800,50.5,1.2,0.012
183600,51,1.2,0.012
185400,51.5,1.2,0.012
187200,52,1.2,0.012
189000,52.5,1.2,0.012
190800,53,1.2,0.012
192600,53.5,1.2,0.012
194400,54,1.2,0.012
196200,54.5,1.2,0.012
198000,55,1.2,0.012
199800,55.5,1.2,0.012
201600,56,1.2,0.012
203400,56.5,1.2,0.012
205200,57,1.2,0.012
207000,57.5,1.2,0.012
208800,58,1.199,0.01199
210600,58.5,1.199,0.01199
212400,59,1.199,0.01199
214200,59.5,1.199,0.01199
216000,60,1.199,0.01199
217800,60.5,1.199,0.01199
219600,61,1.199,0.01199
221400,61.5,1.199,0.01199
223200,62,1.199,0.01199
225000,62.5,1.199,0.01199
226800,63,1.199,0.01199
228600,63.5,1.199,0.01199
230400,64,1.199,0.01199
232200,64.5,1.199,0.01199
234000,65,1.199,0.01199
235800,65.5,1.199,0.01199
237600,66,1.199,0.01199
239400,66.5,1.199,0.01199
241200,67,1.198,0.01198
243000,67.5,1.198,0.01198
244800,68,1.198,0.01198
246600,68.5,1.198,0.01198
248400,69,1.198,0.01198
250200,69.5,1.198,0.01198
252000,70,1.198,0.01198
253800,70.5,1.198,0.01198
255600,71,1.198,0.01198
257400,71.5,1.198,0.01198
259200,72,1.198,0.01198
