time_s,radius_m,fvm_temperature_K,analytic_temperature_K,temperature_error_K,fvm_moisture_kg_per_kg,analytic_frozen_D_moisture_kg_per_kg,moisture_error_kg_per_kg
100,0,301.15005376687031,301.15005330770055,4.5916976887383498e-07,2.5499999999999998,,
100,0.0050000000000000001,301.15034864526609,301.15034740059986,1.2446662367437966e-06,2.5499999999999998,,
100,0.01,301.15404871428177,301.15404565490775,3.0593740234508005e-06,2.5499999999999998,,
100,0.014999999999999999,301.18269709644585,301.1827026239938,-5.5275479553529294e-06,2.5499999039266061,,
100,0.02,301.33001112984988,301.3300714204031,-6.0290553221875598e-05,2.2482505954936256,,
300,0,301.19080561740873,301.19079133249062,1.4284918108842248e-05,2.5499999999999998,,
300,0.0050000000000000001,301.21349964196503,301.21348806986509,1.1572099936074665e-05,2.5499999999999998,,
300,0.01,301.30139777537744,301.30139597751463,1.797862807961792e-06,2.5499999982876611,,
300,0.014999999999999999,301.51805034238919,301.51807024807687,-1.9905687679511175e-05,2.5491722049846364,,
300,0.02,301.99877537058524,301.99885401491747,-7.8644332234034664e-05,2.0513771449377045,,
600,0,301.6033457399638,301.60332973155795,1.6008405850698182e-05,2.5499999999999994,,
600,0.0050000000000000001,301.68604183387453,301.68603066099803,1.1172876497766993e-05,2.549999999695308,,
600,0.01,301.95394188127136,301.95394428016186,-2.3988905013538897e-06,2.5499877273001088,,
600,0.014999999999999999,302.46589223705456,302.46591627692021,-2.4039865650138381e-05,2.5352325291675228,,
600,0.02,303.31518086987728,303.31522872145183,-4.7851574549895304e-05,1.8772579192606593,,
900,0,302.47430449787817,302.47429425817603,1.0239702135095285e-05,2.5499999999226528,,
900,0.0050000000000000001,302.60825636269306,302.60825062293537,5.7397576824769203e-06,2.549999772109496,,
900,0.01,303.0254480163411,303.02545437658625,-6.360245151881827e-06,2.5496769180711807,,
900,0.014999999999999999,303.76612218831843,303.76614243479025,-2.0246471819973522e-05,2.5045268236052931,,
900,0.02,304.88037133293312,304.88040032848448,-2.8995551360821992e-05,1.7549096107994688,,
1200,0,303.69272243264618,303.69271897459151,3.4580546639517706e-06,2.5499999773645832,,
1200,0.0050000000000000001,303.85976962542702,303.8597687056324,9.1979461558366893e-07,2.5499926373252095,,
1200,0.01,304.37234215771497,304.37234899608382,-6.8383688471840287e-06,2.5481642150695167,,
1200,0.014999999999999999,305.26254164413223,305.26255917781396,-1.7533681727854855e-05,2.4645764310884957,,
1200,0.02,306.57760606798792,306.57763583357183,-2.9765583917651384e-05,1.6586990933657553,,
1500,0,305.14571946474354,305.14572004941522,-5.8467168173592654e-07,2.5499992565335639,,
1500,0.0050000000000000001,305.33673131319097,305.33673394907441,-2.6358834475104231e-06,2.5499362632346849,,
1500,0.01,305.91601284383694,305.91602103586632,-8.1920293837356439e-06,2.544517772962716,,
1500,0.014999999999999999,306.89626581989006,306.89627767079492,-1.1850904854782129e-05,2.4206336320889319,,
1500,0.02,308.27026697668515,308.27026146987458,5.5068105666578049e-06,1.5788307356785034,,
1800,0,306.7253388975563,306.72534482780486,-5.9302485624357359e-06,2.5499920702222805,,
1800,0.0050000000000000001,306.92199637813826,306.92200191547209,-5.5373338341269118e-06,2.5497199100726933,,
1800,0.01,307.51415537953955,307.5141607963489,-5.4168093583939481e-06,2.5382721777461876,,
1800,0.014999999999999999,308.51211548284067,308.51212459074998,-9.1079093067492067e-06,2.3755024486662126,,
1800,0.02,309.93554949135563,309.93556035702767,-1.0865672038562479e-05,1.5103187102599951,,
