question,sampleType,timeSec,materialX,radiusM,currentRadiusM,temperatureK,temperatureC,moistureDryBasis
Q1,initial,0,0,0,0.02,301.15,28,2.55
Q1,initial,0,0.25,0.005,0.02,301.15,28,2.55
Q1,initial,0,0.5,0.01,0.02,301.15,28,2.55
Q1,initial,0,0.75,0.015,0.02,301.15,28,2.55
Q1,initial,0,1,0.02,0.02,301.15,28,2.55
Q1,fixedTime,1800,0,0,0.02,306.725307749081,33.5753077490808,2.54999023140073
Q1,fixedTime,1800,0.25,0.005,0.02,306.921967271793,33.771967271793,2.54969871316184
Q1,fixedTime,1800,0.5,0.01,0.02,307.514126907538,34.364126907538,2.53812377242596
Q1,fixedTime,1800,0.75,0.015,0.02,308.512067673513,35.3620676735135,2.37567203867604
Q1,fixedTime,1800,1,0.02,0.02,309.93549243472,36.7854924347197,1.51076226612566
