"panel","data_min","data_max","axis_min","axis_max","all_data_in_range"
"f1_T",28.0000533042965,36.7855602874471,27.7,37.5,TRUE
"f1_C",1.51023468536252,2.55,1.45,2.6,TRUE
"f2_T",28,50.246,24,52.5,TRUE
"f2_air_indicator",0.01963,0.05025,0.018,0.0525,TRUE
"f3_T",28,50.0398663326631,26,52,TRUE
"f3_C",0.0526594887160989,2.55,0,2.65,TRUE
"f4_C_log_axis",0.052659448085106,2.55,0.04,3,TRUE
"f4_delta_scaled",-4.98964708661731,0,-5.45,0.8,TRUE
"f5_R",1.198,2,1.16,2.04,TRUE
"f5_C_log_axis",0.052620030980109,2.55,0.04,3,TRUE
"f6_time",51.0905991554638,65.4447491379564,49,68,TRUE
