time_s,time_h,temperature_C,temperature_K,air_moisture_kg_per_kg
0,0,28,301.15,0.01963
60,0.0166666666666667,28.528,301.678,0.02002
120,0.0333333333333333,29.192,302.342,0.02053
180,0.05,29.684,302.834,0.021
240,0.0666666666666667,30.037,303.187,0.02151
300,0.0833333333333333,30.834,303.984,0.02191
360,0.1,31.293,304.443,0.02233
420,0.116666666666667,31.82,304.97,0.02278
480,0.133333333333333,32.121,305.271,0.02325
540,0.15,32.73,305.88,0.02377
600,0.166666666666667,33.202,306.352,0.02428
660,0.183333333333333,33.879,307.029,0.02465
720,0.2,34.268,307.418,0.02506
780,0.216666666666667,34.806,307.956,0.02552
840,0.233333333333333,35.142,308.292,0.02612
900,0.25,35.524,308.674,0.0266
960,0.266666666666667,36.091,309.241,0.02687
1020,0.283333333333333,36.354,309.504,0.02732
1080,0.3,37.067,310.217,0.02793
1140,0.316666666666667,37.419,310.569,0.02826
1200,0.333333333333333,37.882,311.032,0.02891
1260,0.35,38.134,311.284,0.02921
1320,0.366666666666667,38.767,311.917,0.02961
1380,0.383333333333333,39.125,312.275,0.03029
1440,0.4,39.458,312.608,0.03051
1500,0.416666666666667,39.595,312.745,0.03098
1560,0.433333333333333,40.061,313.211,0.03137
1620,0.45,40.238,313.388,0.03179
1680,0.466666666666667,40.621,313.771,0.03219
1740,0.483333333333333,41.166,314.316,0.03262
1800,0.5,41.513,314.663,0.03307
1860,0.516666666666667,41.918,315.068,0.03345
1920,0.533333333333333,41.952,315.102,0.03403
1980,0.55,42.263,315.413,0.03447
2040,0.566666666666667,42.589,315.739,0.03476
2100,0.583333333333333,42.745,315.895,0.03513
2160,0.6,42.985,316.135,0.03558
2220,0.616666666666667,43.393,316.543,0.03609
2280,0.633333333333333,43.534,316.684,0.03646
2340,0.65,43.97,317.12,0.03653
2400,0.666666666666667,44.102,317.252,0.03694
2460,0.683333333333333,44.503,317.653,0.03731
2520,0.7,44.663,317.813,0.03766
2580,0.716666666666667,44.701,317.851,0.03812
2640,0.733333333333333,45.138,318.288,0.0384
2700,0.75,45.323,318.473,0.03858
2760,0.766666666666667,45.324,318.474,0.03903
2820,0.783333333333333,45.462,318.612,0.0394
2880,0.8,45.818,318.968,0.03954
2940,0.816666666666667,45.739,318.889,0.04013
3000,0.833333333333333,45.93,319.08,0.04011
3060,0.85,45.999,319.149,0.04076
3120,0.866666666666667,46.512,319.662,0.0407
3180,0.883333333333333,46.602,319.752,0.04128
3240,0.9,46.761,319.911,0.04157
