time_s,radius_m,fvm_temperature_K,analytic_temperature_K,temperature_error_K,fvm_moisture_kg_per_kg,analytic_frozen_D_moisture_kg_per_kg,moisture_error_kg_per_kg
0,0,301.14999999999998,301.14999999999998,0,2.5499999999999998,,
0,0.001,301.14999999999998,301.14999999999998,0,2.5499999999999998,,
0,0.002,301.14999999999998,301.14999999999998,0,2.5499999999999998,,
0,0.0030000000000000001,301.14999999999998,301.14999999999998,0,2.5499999999999998,,
0,0.0040000000000000001,301.14999999999998,301.14999999999998,0,2.5499999999999998,,
0,0.0050000000000000001,301.14999999999998,301.14999999999998,0,2.5499999999999998,,
0,0.0060000000000000001,301.14999999999998,301.14999999999998,0,2.5499999999999998,,
0,0.0070000000000000001,301.14999999999998,301.14999999999998,0,2.5499999999999998,,
0,0.0080000000000000002,301.14999999999998,301.14999999999998,0,2.5499999999999998,,
0,0.0090000000000000011,301.14999999999998,301.14999999999998,0,2.5499999999999998,,
0,0.01,301.14999999999998,301.14999999999998,0,2.5499999999999998,,
0,0.010999999999999999,301.14999999999998,301.14999999999998,0,2.5499999999999998,,
0,0.012,301.14999999999998,301.14999999999998,0,2.5499999999999998,,
0,0.013000000000000001,301.14999999999998,301.14999999999998,0,2.5499999999999998,,
0,0.014,301.14999999999998,301.14999999999998,0,2.5499999999999998,,
0,0.014999999999999999,301.14999999999998,301.14999999999998,0,2.5499999999999998,,
0,0.016,301.14999999999998,301.14999999999998,0,2.5499999999999998,,
0,0.017000000000000001,301.14999999999998,301.14999999999998,0,2.5499999999999998,,
0,0.018000000000000002,301.14999999999998,301.14999999999998,0,2.5499999999999998,,
0,0.019,301.14999999999998,301.14999999999998,0,2.5499999999999998,,
0,0.02,301.14999999999998,301.14999999999998,0,2.5499999999999998,,
10,0,301.14999999999998,301.15000000309425,-3.0942715056880843e-09,2.5499999999999998,,
10,0.001,301.14999999999998,301.15000000027317,-2.7318947104504332e-10,2.5499999999999998,,
10,0.002,301.14999999999998,301.15000000018699,-1.8701484805205837e-10,2.5499999999999998,,
10,0.0030000000000000001,301.14999999999998,301.15000000014811,-1.4813394955126569e-10,2.5499999999999998,,
10,0.0040000000000000001,301.14999999999998,301.15000000012469,-1.2471446098061278e-10,2.5499999999999998,,
10,0.0050000000000000001,301.14999999999998,301.15000000010872,-1.0874146028072573e-10,2.5499999999999998,,
10,0.0060000000000000001,301.14999999999998,301.15000000009695,-9.6974872576538473e-11,2.5499999999999998,,
10,0.0070000000000000001,301.14999999999998,301.15000000008791,-8.7936768977669999e-11,2.5499999999999998,,
10,0.0080000000000000002,301.14999999999998,301.15000000008081,-8.0831341620068997e-11,2.5499999999999998,,
10,0.0090000000000000011,301.15000000000049,301.15000000007529,-7.4805939220823348e-11,2.5499999999999998,,
10,0.01,301.15000000001265,301.15000000007825,-6.5597305365372449e-11,2.5499999999999998,,
10,0.010999999999999999,301.15000000024946,301.15000000024787,1.5916157281026244e-12,2.5499999999999998,,
10,0.012,301.1500000039332,301.15000000325523,6.7797145675285719e-10,2.5499999999999998,,
10,0.013000000000000001,301.15000004947098,301.15000004351651,5.9544618125073612e-09,2.5499999999999998,,
10,0.014,301.15000049620477,301.15000046054007,3.5664697861648165e-08,2.5499999999999998,,
10,0.014999999999999999,301.15000397540575,301.15000382504581,1.5035993783385493e-07,2.5499999999999998,,
10,0.016,301.150025541773,301.15002512630934,4.1546365991962375e-07,2.5499999999999998,,
10,0.017000000000000001,301.15013248719862,301.15013194778516,5.3941346322972095e-07,2.5499999999999732,,
10,0.018000000000000002,301.15056021604619,301.1505612209707,-1.0049245133814111e-06,2.5499999948113401,,
10,0.019,301.15195608256693,301.15196360983873,-7.527271804974589e-06,2.5498765247781354,,
10,0.02,301.15573074732077,301.15575333130334,-2.2583982570267835e-05,2.4547932917269901,,
20,0,301.14999999999998,301.15000000309419,-3.0942146622692235e-09,2.5499999999999998,,
