time_s,radius_m,fvm_temperature_K,analytic_temperature_K,temperature_error_K,fvm_moisture_kg_per_kg,analytic_frozen_D_moisture_kg_per_kg,moisture_error_kg_per_kg
100,0,301.15005376687026,301.15005330770055,4.5916971203041612e-07,2.5499999999999998,,
100,0.0050000000000000001,301.15034864526604,301.15034740059986,1.2446661799003778e-06,2.5499999999999998,,
100,0.01,301.15404871428166,301.15404565490775,3.0593739097639627e-06,2.5499999999999998,,
100,0.014999999999999999,301.18269709644579,301.1827026239938,-5.5275480121963483e-06,2.5499999039266066,,
100,0.02,301.33001112984965,301.3300714204031,-6.0290553449249273e-05,2.2482505954936269,,
300,0,301.1908056174068,301.19079133249062,1.4284916176166007e-05,2.5499999999999998,,
300,0.0050000000000000001,301.21349964196065,301.21348806986509,1.1572095559131412e-05,2.5499999999999998,,
300,0.01,301.30139777532702,301.30139597751463,1.7978123878492624e-06,2.549999998287662,,
300,0.014999999999999999,301.51805034208076,301.51807024807687,-1.9905996111901914e-05,2.5491722049846257,,
300,0.02,301.99877480679169,301.99885401491747,-7.9208125782770367e-05,2.0513771449412199,,
600,0,301.60334574260884,301.60332973155795,1.6011050888664613e-05,2.5499999999999994,,
600,0.0050000000000000001,301.68604183773436,301.68603066099803,1.1176736336437898e-05,2.5499999996953076,,
600,0.01,301.95394188758058,301.95394428016186,-2.392581279764272e-06,2.5499877272999125,,
600,0.014999999999999999,302.46589224365613,302.46591627692021,-2.4033264082845562e-05,2.5352325291679727,,
600,0.02,303.31518099596758,303.31522872145183,-4.7725484250804584e-05,1.8772579192592325,,
900,0,302.47430450107152,302.47429425817603,1.0242895484680048e-05,2.5499999999226537,,
900,0.0050000000000000001,302.60825636525539,302.60825062293537,5.742320013268909e-06,2.5499997721094774,,
900,0.01,303.02544801655404,303.02545437658625,-6.3600322164347745e-06,2.549676918071246,,
900,0.014999999999999999,303.7661221843253,303.76614243479025,-2.0250464956461656e-05,2.5045268236033307,,
900,0.02,304.88037162362212,304.88040032848448,-2.8704862359063554e-05,1.7549096107686222,,
1200,0,303.69272243105485,303.69271897459151,3.4564633324407623e-06,2.5499999773645818,,
1200,0.0050000000000000001,303.85976962366914,303.8597687056324,9.1803673285539844e-07,2.5499926373251638,,
1200,0.01,304.37234215517134,304.37234899608382,-6.8409124764912121e-06,2.5481642150698449,,
1200,0.014999999999999999,305.26254163947198,305.26255917781396,-1.753834197870674e-05,2.4645764310869964,,
1200,0.02,306.57760625175314,306.57763583357183,-2.958181869416876e-05,1.6586990933996915,,
1500,0,305.14571946128365,305.14572004941522,-5.8813157011172734e-07,2.5499992565335403,,
1500,0.0050000000000000001,305.33673130780079,305.33673394907441,-2.6412736247038993e-06,2.5499362632345877,,
1500,0.01,305.91601283009084,305.91602103586632,-8.20577548665824e-06,2.544517772963359,,
1500,0.014999999999999999,306.89626579255088,306.89627767079492,-1.1878244038143748e-05,2.4206336320868567,,
1500,0.02,308.2702668228286,308.27026146987458,5.3529540195995651e-06,1.5788307354415256,,
1800,0,306.72533888123161,306.72534482780486,-5.9465732533681148e-06,2.5499920702222347,,
1800,0.0050000000000000001,306.92199636146313,306.92200191547209,-5.5540089647365676e-06,2.5497199100726613,,
1800,0.01,307.51415536314545,307.5141607963489,-5.433203455140756e-06,2.5382721777465242,,
1800,0.014999999999999999,308.51211547104538,308.51212459074998,-9.1197046003799187e-06,2.3755024486596499,,
1800,0.02,309.93554948493903,309.93556035702767,-1.0872088637370325e-05,1.5103187101504285,,
