time_s,radius_m,fvm_temperature_K,analytic_temperature_K,temperature_error_K,fvm_moisture_kg_per_kg,analytic_frozen_D_moisture_kg_per_kg,moisture_error_kg_per_kg
1,0,301.14999999999998,301.150000000273,-2.730189407884609e-10,2.5499999999999998,2.5500000000160634,-1.6063594898696465e-11
1,0.019,301.15000310613402,301.15000309625594,9.8780787993746344e-09,2.5499999999999998,2.5500000000004364,-4.3653969328261155e-13
1,0.02,301.15018614211732,301.15018664180531,-4.9968798521149438e-07,2.5188174059348265,2.5177690086910123,0.0010483972438142253
2,0,301.14999999999998,301.150000000273,-2.730189407884609e-10,2.5499999999999998,2.5500000000160163,-1.6016521442452358e-11
2,0.019,301.15003563928894,301.15003565266181,-1.3372869034355972e-08,2.5499999999969711,2.5500000000004066,-3.4354741274000844e-12
2,0.02,301.15052460224842,301.15052529402067,-6.9177224304439733e-07,2.5052838755637485,2.504578197481381,0.00070567808236754459
5,0,301.14999999999998,301.15000000027294,-2.7296209736960009e-10,2.5499999999999998,2.5500000000159933,-1.5993428803540155e-11
5,0.019,301.15042159264772,301.15042177731704,-1.8466931805960485e-07,2.549999747513882,2.5499998711803262,-1.2366644419614659e-07
5,0.02,301.15205523533268,301.15205628400628,-1.0486735959602811e-06,2.4791030233492757,2.4786784615695088,0.00042456177976690768
10,0,301.14999999999998,301.150000000273,-2.730189407884609e-10,2.5499999999999998,2.5500000000160008,-1.6000978320107606e-11
10,0.019,301.15196313724175,301.15196360967667,-4.7243491962944972e-07,2.5499433191891345,2.5499482573839969,-4.9381948623583583e-06
10,0.02,301.15575190415495,301.15575331871912,-1.414564167134813e-06,2.4502054189287574,2.4499179098862758,0.00028750904248164844
20,0,301.14999999999998,301.15000000027294,-2.7296209736960009e-10,2.5499999999999998,2.5500000000160066,-1.6006751479835657e-11
20,0.019,301.15769693242095,301.15769784531199,-9.1289103920644266e-07,2.5484345119156959,2.5484475586582827,-1.3046742586730886e-05
20,0.02,301.16602701364428,301.16602888493026,-1.8712859741754073e-06,2.4101937972361358,2.4100017192345522,0.00019207800158360655
30,0,301.15000000000208,301.15000000027504,-2.7296209736960009e-10,2.5499999999999998,2.5500000000160168,-1.6016965531662208e-11
30,0.019,301.1661872003321,301.16618843771323,-1.2373811273391766e-06,2.5441991488430298,2.5442047852414489,-5.6363984191065697e-06
30,0.02,301.17911072213491,301.17911289940042,-2.1772655145468889e-06,2.3801112855073665,2.3799610242629341,0.00015026124443240363
60,0,301.15000026938867,301.15000026902231,3.6635583455790766e-10,2.5499999999999998,2.5500000000160323,-1.6032508654006961e-11
60,0.019,301.20381670044753,301.20381857706337,-1.8766158405014721e-06,2.5217194276261718,2.5216989888015195,2.0438824652302401e-05
60,0.02,301.2302944789688,301.23029650375128,-2.0247824750185828e-06,2.3140661348192242,2.3139696780286645,9.6456790559695804e-05
