time_s,radius_m,fvm_temperature_K,analytic_temperature_K,temperature_error_K,fvm_moisture_kg_per_kg,analytic_frozen_D_moisture_kg_per_kg,moisture_error_kg_per_kg
100,0,301.15005333271921,301.15005330770055,2.5018664473464014e-08,2.5499999999999998,2.5500000002384189,-2.3841906227062282e-10
100,0.0050000000000000001,301.15034747831299,301.15034740059986,7.7713139035040513e-08,2.5499999999999998,2.5500000000083736,-8.3737461409327807e-12
100,0.01,301.15404584598809,301.15404565490775,1.9108034621240222e-07,2.5499999999999998,2.5500000000054261,-5.4263260551579151e-12
100,0.014999999999999999,301.1827022779741,301.1827026239938,-3.4601970355652156e-07,2.5499999557325945,2.5499999585345821,-2.8019875308871178e-09
100,0.02,301.33006763713701,301.3300714204031,-3.7832660950698482e-06,2.2508796421407542,2.2508118711361416,6.7771004612637853e-05
300,0,301.19079222086418,301.19079133249062,8.8837356315707439e-07,2.5499999999999998,2.5500000001870178,-1.8701795667652732e-10
300,0.0050000000000000001,301.21348879069257,301.21348806986509,7.2082747237800504e-07,2.5499999999999998,2.5500000000065759,-6.5760730194597272e-12
300,0.01,301.3013960810739,301.30139597751463,1.0355927315686131e-07,2.5499999989773996,2.5499999990211815,-4.3781867020697973e-11
300,0.014999999999999999,301.51806899685403,301.51807024807687,-1.2512228408922965e-06,2.5491820295662757,2.5491838069306838,-1.7773644080953943e-06
300,0.02,301.9988480792893,301.99885401491747,-5.935628166753304e-06,2.0609827509838166,2.060954653496609,2.8097487207556782e-05
600,0,301.60333072061957,301.60332973155795,9.8906161838385742e-07,2.5499999999999994,2.5500000002384584,-2.3845903029950932e-10
600,0.0050000000000000001,301.68603134912604,301.68603066099803,6.8812801146123093e-07,2.5499999997823286,2.549999999796114,-1.3785417252165644e-11
600,0.01,301.95394411985831,301.95394428016186,-1.6030355709517607e-07,2.5499883074443961,2.5499883639054342,-5.6461038067112668e-08
600,0.014999999999999999,302.46591476068818,302.46591627692021,-1.5162320323724998e-06,2.5347754154050204,2.5347782600802891,-2.8446752686761556e-06
600,0.02,303.31522607617234,303.31522872145183,-2.6452794941178581e-06,1.8951593605763308,1.895145464900674,1.3895675656794282e-05
900,0,302.4742948877302,302.47429425817603,6.2955416524346219e-07,2.5499999999429921,2.5500000001687071,-2.2571500224444208e-10
900,0.0050000000000000001,302.60825097430973,302.60825062293537,3.5137435361320968e-07,2.549999790683537,2.549999792239757,-1.556220041720735e-09
900,0.01,303.0254539716334,303.02545437658625,-4.0495285702490946e-07,2.5496733421859195,2.5496737959836677,-4.5379774826770358e-07
900,0.014999999999999999,303.76614115907415,303.76614243479025,-1.2757161016452301e-06,2.5025844040908276,2.5025855220355084,-1.1179446808284865e-06
900,0.02,304.880398509222,304.88040032848448,-1.8192624793300638e-06,1.7798647088336932,1.7798563686721773,8.3401615158518183e-06
1200,0,303.69271917454665,303.69271897459151,1.9995513866888359e-07,2.5499999798045683,2.5499999802992317,-4.946634213354173e-10
1200,0.0050000000000000001,303.85976874855288,303.8597687056324,4.2920476062136004e-08,2.54999275431874,2.5499927768826249,-2.2563884982673699e-08
1200,0.01,304.37234855093993,304.37234899608382,-4.4514388264360605e-07,2.5481046365264968,2.5481057056514711,-1.0691249743288722e-06
1200,0.014999999999999999,305.26255806520368,305.26255917781396,-1.1126102776870539e-06,2.4603347946747243,2.4603343531241193,4.4155060496819942e-07
1200,0.02,306.57763360050978,306.57763583357183,-2.2330620481625374e-06,1.6898764490606213,1.6898710812633762,5.3677972451371403e-06
1500,0,305.14571999364256,305.14572004941522,-5.5772659379726974e-08,2.5499992863695442,2.5499992899996871,-3.6301428529839086e-09
1500,0.0050000000000000001,305.33673376597267,305.33673394907441,-1.8310174709768035e-07,2.5499354225012869,2.5499355249453104,-1.0244402348646986e-07
1500,0.01,305.91602050583521,305.91602103586632,-5.3003111588623142e-07,2.5442700049068296,2.5442715884001288,-1.5834932991509731e-06
1500,0.014999999999999999,306.8962769054603,306.89627767079492,-7.6533461879080278e-07,2.4135762390105429,2.4135748082566075,1.4307539353275445e-06
1500,0.02,308.27026301764721,308.27026146987458,1.5477726265089586e-06,1.6155942767438225,1.6155907093973543,3.5673464682250966e-06
1800,0,306.72534443821007,306.72534482780486,-3.8959478843025863e-07,2.549992113077697,2.5499921347946053,-2.1716908271685043e-08
1800,0.0050000000000000001,306.92200155347126,306.92200191547209,-3.6200083286530571e-07,2.5497115113127578,2.5497117747862865,-2.6347352877209573e-07
1800,0.01,307.51416044525394,307.5141607963489,-3.5109496820950881e-07,2.5376300986758116,2.5376319832532355,-1.8845774238940294e-06
1800,0.014999999999999999,308.51212400462327,308.51212459074998,-5.8612670272850664e-07,2.3653299918296296,2.3653280107026973,1.9811269322822511e-06
1800,0.02,309.93555965645794,309.93556035702767,-7.00569728451228e-07,1.5521553096328362,1.5521529532747804,2.3563580557883768e-06
